threshold,precision,recall,f1,balanced_accuracy
0.05,0.21943986820428335,0.9980732177263969,0.35977774347893193,0.751085053839275
0.1,0.2270474795557183,0.9956112181545708,0.3697696145665613,0.7610831210390079
0.15,0.2345897332255457,0.9940055662599016,0.3795936720761967,0.7704926156658359
0.2,0.24412984337444865,0.9894026974951831,0.39162765078490774,0.7807509898959168
0.25,0.25199418875579066,0.9840505245129523,0.4012395521899483,0.7880180852229833
0.3,0.2570311621104736,0.978270177692143,0.40710053899951,0.7916395744920045
0.35,0.26203872010156093,0.9721687004923999,0.41280879980000457,0.7948687401983531
0.4,0.2675855513307985,0.9642474844786983,0.4189182904710971,0.7977935986986793
0.45,0.27496902106567533,0.9501177478056091,0.42650521358896737,0.8000887782090247
0.5,0.2842685992230601,0.9321344465853136,0.4356722951844903,0.8021542448237573
0.55,0.2937970773022319,0.9060158424320274,0.4437105187282116,0.800907143704052
0.6,0.30580070905936485,0.8679083707985442,0.45225345827755464,0.7963495203275017
0.65,0.3211437298489734,0.8103189895097409,0.45998663182840127,0.7855273177213776
0.7,0.3360111078052167,0.7253264825519161,0.45926528399078215,0.7625585762041878
0.75,0.359639941385807,0.5517019910083494,0.43543277151184895,0.7072430409587201
0.8,0.40003516792685073,0.24352387069150075,0.30274802049371213,0.5962535621400088
0.85,0.4378698224852071,0.007921216013701562,0.015560929450110398,0.5032503807341235
0.9,0.0,0.0,0.0,0.5
0.95,0.0,0.0,0.0,0.5
